"state","placefp14","sdsec14","stab","placefp","placenm","placenm14","sschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sdsec14","State abbreviation","placefp","placenm","Place name 2014","Secondary school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sdsec14 allocation factor","sdsec14 to placefp14 allocation factor"
"36","32094"," ","NY"," "," ","Harbor Hills CDP, NY","36",-73.747919,40.789379,586,1,0.000537 
"36","32105"," ","NY"," "," ","Harbor Isle CDP, NY","36",-73.665055,40.602364,1301,1,0.001192 
"36","33139"," ","NY"," "," ","Hempstead village, NY","36",-73.618632,40.705833,53891,1,0.049383 
"36","34198"," ","NY"," "," ","Herricks CDP, NY","36",-73.663792,40.756334,4295,1,0.003936 
"36","34286"," ","NY"," "," ","Hewlett CDP, NY","36",-73.694993,40.641936,6819,1,0.006249 
"36","34297"," ","NY"," "," ","Hewlett Bay Park village, NY","36",-73.69598,40.634057,404,1,0.00037 
"36","34308"," ","NY"," "," ","Hewlett Harbor village, NY","36",-73.683714,40.634755,1263,1,0.001157 
"36","34319"," ","NY"," "," ","Hewlett Neck village, NY","36",-73.69908,40.625099,445,1,0.000408 
"36","34374"," ","NY"," "," ","Hicksville CDP, NY","36",-73.523,40.763397,41547,1,0.038071 
"36","37583"," ","NY"," "," ","Inwood CDP, NY","36",-73.744838,40.618094,9792,1,0.008973 
"36","37847"," ","NY"," "," ","Island Park village, NY","36",-73.655893,40.604437,4655,1,0.004266 
"36","38539"," ","NY"," "," ","Jericho CDP, NY","36",-73.538315,40.786306,13567,1,0.012432 
"36","39309"," ","NY"," "," ","Kensington village, NY","36",-73.723921,40.792977,1161,1,0.001064 
"36","39694"," ","NY"," "," ","Kings Point village, NY","36",-73.741672,40.815036,5034,1,0.004613 
"36","40937"," ","NY"," "," ","Lake Success village, NY","36",-73.714091,40.769018,2934,1,0.002689 
"36","41003"," ","NY"," "," ","Lakeview CDP, NY","36",-73.655452,40.675393,5615,1,0.005145 
"36","41432"," ","NY"," "," ","Lattingtown village, NY","36",-73.594347,40.890386,1739,1,0.001594 
"36","41487"," ","NY"," "," ","Laurel Hollow village, NY","36",-73.476289,40.853337,1952,1,0.001789 
"36","41553"," ","NY"," "," ","Lawrence village, NY","36",-73.729136,40.611968,6483,1,0.005941 
"36","42081"," ","NY"," "," ","Levittown CDP, NY","36",-73.512619,40.724589,51881,1,0.047541 
"36","42279"," ","NY"," "," ","Lido Beach CDP, NY","36",-73.623255,40.589493,2897,1,0.002655 
"36","43192"," ","NY"," "," ","Locust Valley CDP, NY","36",-73.595143,40.87761,3406,1,0.003121 
"36","43335"," ","NY"," "," ","Long Beach city, NY","36",-73.664616,40.587546,33275,1,0.030491 
"36","43874"," ","NY"," "," ","Lynbrook village, NY","36",-73.673206,40.657931,18165,0.935039,0.016645 
"36","43874","29520","NY"," "," ","Lynbrook village, NY","Valley Stream Central High School District",-73.686982,40.653929,1262,0.064961,0.021116 
"36","44787"," ","NY"," "," ","Malverne village, NY","36",-73.668059,40.673405,4520,0.53089,0.004142 
"36","44787","29520","NY"," "," ","Malverne village, NY","Valley Stream Central High School District",-73.678626,40.675849,3994,0.46911,0.066828 
"36","44792"," ","NY"," "," ","Malverne Park Oaks CDP, NY","36",-73.663376,40.680998,505,1,0.000463 
"36","44897"," ","NY"," "," ","Manhasset CDP, NY","36",-73.694557,40.791276,8080,1,0.007404 
"36","44908"," ","NY"," "," ","Manhasset Hills CDP, NY","36",-73.679715,40.759153,3592,1,0.003292 
"36","45106"," ","NY"," "," ","Manorhaven village, NY","36",-73.714496,40.841843,6556,1,0.006008 
"36","45986"," ","NY"," "," ","Massapequa CDP, NY","36",-73.471223,40.669207,21685,1,0.019871 
