"state","placefp14","sduni14","stab","placefp","placenm","placenm14","uschlnm14","intptlon","intptlat","pop10","afact","AFACT2"
"State code","placefp14","sduni14","State abbreviation","placefp","placenm","Place name 2014","Unified school district name 2014","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total population (2010)","placefp14 to sduni14 allocation factor","sduni14 to placefp14 allocation factor"
"36","05661"," ","NY"," "," ","Bellerose Terrace CDP, NY","36",-73.725018,40.722188,2198,1,0.008854 
"36","05738"," ","NY"," "," ","Bellmore CDP, NY","36",-73.529461,40.662289,16218,1,0.065332 
"36","06387","04740","NY"," "," ","Bethpage CDP, NY","Bethpage Union Free School District",-73.484482,40.74966,15933,0.969809,0.831316 
"36","06387","10980","NY"," "," ","Bethpage CDP, NY","Farmingdale Union Free School District",-73.464759,40.733476,293,0.017834,0.008439 
"36","06387","14340","NY"," "," ","Bethpage CDP, NY","Hicksville Union Free School District",-73.499936,40.754966,160,0.009739,0.00403 
"36","06387","23220","NY"," "," ","Bethpage CDP, NY","Plainview-Old Bethpage Central School District",-73.485747,40.769132,43,0.002617,0.0015 
"36","10132","15810","NY"," "," ","Brookville village, NY","Jericho Union Free School District",-73.58127,40.814567,2986,0.86176,0.172124 
"36","10132","17700","NY"," "," ","Brookville village, NY","Locust Valley Central School District",-73.562366,40.819095,479,0.13824,0.030666 
"36","12419","06540","NY"," "," ","Carle Place CDP, NY","Carle Place Union Free School District",-73.611692,40.751283,4981,1,0.528993 
"36","13233","16830","NY"," "," ","Cedarhurst village, NY","Lawrence Union Free School District",-73.727619,40.625061,6592,1,0.18522 
"36","13618","22290","NY"," "," ","Centre Island village, NY","Oyster Bay-East Norwich Central School District",-73.522346,40.898496,410,1,0.031044 
"36","18597","22290","NY"," "," ","Cove Neck village, NY","Oyster Bay-East Norwich Central School District",-73.499857,40.882412,286,1,0.021655 
"36","21578","16830","NY"," "," ","East Atlantic Beach CDP, NY","Lawrence Union Free School District",-73.711195,40.587498,785,0.383114,0.022057 
"36","21578","17730","NY"," "," ","East Atlantic Beach CDP, NY","Long Beach City School District",-73.703586,40.586696,1264,0.616886,0.032699 
"36","22065","14130","NY"," "," ","East Garden City CDP, NY","Hempstead Union Free School District",-73.606923,40.714824,321,0.051707,0.00726 
"36","22065","29280","NY"," "," ","East Garden City CDP, NY","Uniondale Union Free School District",-73.600638,40.724936,5872,0.945876,0.13969 
"36","22065","30960","NY"," "," ","East Garden City CDP, NY","Westbury Union Free School District",-73.590344,40.746829,15,0.002416,0.00057 
"36","22260","10050","NY"," "," ","East Hills village, NY","East Williston Union Free School District",-73.623132,40.787258,404,0.058088,0.045732 
"36","22260","15810","NY"," "," ","East Hills village, NY","Jericho Union Free School District",-73.618458,40.810952,23,0.003307,0.001326 
"36","22260","25050","NY"," "," ","East Hills village, NY","Roslyn Union Free School District",-73.628528,40.797007,6528,0.938605,0.374419 
"36","22480","02940","NY"," "," ","East Massapequa CDP, NY","Amityville Union Free School District",-73.428938,40.678189,6719,0.352352,1 
"36","22480","10980","NY"," "," ","East Massapequa CDP, NY","Farmingdale Union Free School District",-73.437106,40.702736,1251,0.065604,0.036032 
"36","22480","18630","NY"," "," ","East Massapequa CDP, NY","Massapequa Union Free School District",-73.439891,40.670791,11099,0.582044,0.235423 
"36","22502","09840","NY"," "," ","East Meadow CDP, NY","East Meadow Union Free School District",-73.556068,40.715145,38132,1,0.731872 
"36","22623","22290","NY"," "," ","East Norwich CDP, NY","Oyster Bay-East Norwich Central School District",-73.531796,40.848977,2709,1,0.205118 
"36","22876","09960","NY"," "," ","East Rockaway village, NY","East Rockaway Union Free School District",-73.663281,40.643573,6290,0.64066,0.644005 
"36","22876","17910","NY"," "," ","East Rockaway village, NY","Lynbrook Union Free School District",-73.672622,40.643304,3528,0.35934,0.200375 
"36","23217","10050","NY"," "," ","East Williston village, NY","East Williston Union Free School District",-73.634679,40.760044,2556,1,0.289336 
"36","24273"," ","NY"," "," ","Elmont CDP, NY","36",-73.705157,40.701389,33198,1,0.133733 
"36","25384","10980","NY"," "," ","Farmingdale village, NY","Farmingdale Union Free School District",-73.445359,40.732321,8189,1,0.235865 
"36","26264"," ","NY"," "," ","Floral Park village, NY","36",-73.702973,40.722856,15863,1,0.063902 
"36","26352","18270","NY"," "," ","Flower Hill village, NY","Manhasset Union Free School District",-73.684708,40.80349,1453,0.311468,0.08988 
"36","26352","23580","NY"," "," ","Flower Hill village, NY","Port Washington Union Free School District",-73.676719,40.81053,1632,0.349839,0.052525 
"36","26352","25050","NY"," "," ","Flower Hill village, NY","Roslyn Union Free School District",-73.662892,40.802354,1580,0.338692,0.090622 
"36","27309"," ","NY"," "," ","Franklin Square CDP, NY","36",-73.677848,40.700947,29320,1,0.118111 
"36","27485","03840","NY"," "," ","Freeport village, NY","Baldwin Union Free School District",-73.598003,40.668194,1776,0.041437,0.054085 
"36","27485","11550","NY"," "," ","Freeport village, NY","Freeport Union Free School District",-73.586012,40.652334,39410,0.919505,0.986063 
"36","27485","24990","NY"," "," ","Freeport village, NY","Roosevelt Union Free School District",-73.587764,40.671087,1674,0.039057,0.094973 
"36","28178","11760","NY"," "," ","Garden City village, NY","Garden City Union Free School District",-73.64674,40.726543,22371,1,1 
"36","28189"," ","NY"," "," ","Garden City Park CDP, NY","36",-73.667165,40.740496,4037,0.517166,0.016262 
"36","28189","14280","NY"," "," ","Garden City Park CDP, NY","Herricks Union Free School District",-73.663989,40.748782,3365,0.431078,0.136367 
"36","28189","19500","NY"," "," ","Garden City Park CDP, NY","Mineola Union Free School District",-73.657662,40.739686,404,0.051755,0.01717 
"36","28200"," ","NY"," "," ","Garden City South CDP, NY","36",-73.660784,40.712278,4024,1,0.01621 
"36","29113","12180","NY"," "," ","Glen Cove city, NY","Glen Cove City School District",-73.62838,40.865031,26964,1,1 
"36","29245","17700","NY"," "," ","Glen Head CDP, NY","Locust Valley Central School District",-73.591434,40.855862,7,0.00149,0.000448 
"36","29245","26370","NY"," "," ","Glen Head CDP, NY","North Shore Central School District",-73.619564,40.843015,4690,0.998509,0.287131 
"36","29421","25050","NY"," "," ","Glenwood Landing CDP, NY","Roslyn Union Free School District",-73.626345,40.821148,27,0.007145,0.001549 
"36","29421","26370","NY"," "," ","Glenwood Landing CDP, NY","North Shore Central School District",-73.635387,40.828516,3752,0.992855,0.229705 
"36","30169","12510","NY"," "," ","Great Neck village, NY","Great Neck Union Free School District",-73.734023,40.803291,9979,1,0.223845 
"36","30191","12510","NY"," "," ","Great Neck Estates village, NY","Great Neck Union Free School District",-73.737769,40.786987,2761,1,0.061934 
